# map file
# Format: waterfowl, virus, longitude, latitude
# "Bodies of water could serve as a transmission pathway" 
# http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0012851
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.398342,-95.996197
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Pintail,H4N6,48.4556,-95.953547
Mallard,H4N6,48.398342,-95.996197
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Mallard,H4N6,39.4555,-74.632075
Blue-Winged Teal,H4N6,48.4556,-95.953547
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Mallard,H4N6,48.955681,-96.209728
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.37031,-95.91084
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.59007,-94.58782
Blue-Winged Teal,H4N6,29.6925,-94.62889
Mallard,H4N6,48.39834,-95.9962
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,30.03583,-94.41278
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,30.03583,-94.41278
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,30.03583,-94.41278
Blue-Winged Teal,H4N6,29.77322,-94.68812
Green-Winged Teal,H4N6,29.97736,-93.34284
Blue-Winged Teal,H4N6,29.59007,-94.58782
Blue-Winged Teal,H4N6,29.59007,-94.58782
Green-Winged Teal,H4N6,29.59007,-94.58782
Blue-Winged Teal,H4N6,29.59007,-94.58782
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Blue-Winged Teal,H4N6,29.6925,-94.62889
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Blue-Winged Teal,H4N6,29.59007,-94.58782
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
American Black Duck,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Blue-Winged Teal,H4N6,29.77322,-94.68812
