# map file
# Format: waterfowl, virus, longitude, latitude
# An influenza variant: "mutated while in the waterfowl creating a new variant that is capable from jumping from waterfowl to seals".  
# http://www.healthmap.org/site/diseasedaily/article/baby-seals-die-new-influenza-variant-not-bird-flu-8112
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,39.982078,-74.752519
Mallard,H3N8,39.982078,-74.752519
Pintail,H3N8,48.298022,-96.029789
Green-Winged Teal,H3N8,48.4556,-95.953547
Mallard,H3N8,48.298022,-96.029789
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Green-Winged Teal,H3N8,48.398342,-95.996197
Green-Winged Teal,H3N8,48.398342,-95.996197
Mallard,H3N8,48.499281,-95.926203
Mallard,H3N8,48.499281,-95.926203
Blue-Winged Teal,H3N8,48.4556,-95.95355
Blue-Winged Teal,H3N8,48.4556,-95.95355
Blue-Winged Teal,H3N8,48.4556,-95.95355
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
